,Sender,Recipient,Date,Sender Location,Recipient Location,Archive,Rauner Item ID,Published,Copyright Holder,Comments
0,Stadt Kassel,"Rosenzweig, Adam",1847-03-12,Kassel,,Kassel,,,,Ort: Cassel. 'Heimatschein'=Best'tg AufenthaltsR. wg. Reise nach BS u. weiter.
1,Stadt Kassel,"Rosenzweig, Adam",1853-10-05,Kassel,,Kassel,,,,Ort: Cassel. Geburtsbescheinigg der Isr. Gemeinde für Adam Abraham Rosenzw.
2,Landesrabbinat Kassel,"Rosenzweig, Georg betr.",1867-02-28,Kassel,,Kassel,,,,"Auszg aus Geb.Reg. betr. Georg Rosenzweig, geb. 02. 07. 1857"
3,Standesamt Kassel,"Rosenzweig, Louis betr.",1875-08-27,Kassel,,Kassel,,,,"Auszg aus StandesReg. Betr. Louis Rosenzweig, gest.16. 08. 1875"
4,Standesamt Kassel,"Rosenzweig, Gg u. Ad.betr",1886-03-31,Kassel,,Kassel,,,,Eheschluß Georg u. Adele R.; Auszug aus dem Reg. erteilt 27. 01. 1930
5,"Rosenzweig,  Adele","Frank, Gertrud",1891-09-30,Kassel,,Kassel,,,,"Empf: später GO; geb. 1885, Gedicht zum 6. Geburtstag nach Köln"
6,"Rosenzweig , Franz u Ad.","Frank, Leni",1892-03-16,Kassel,,Kassel,,,,zum Geb. Leni Frank; Dat ÜbergL(?) vgl.Schrift [B63; FR müsste hier älter sein!
7,"Rosenzweig,  Franz u.Gg","Frank, Gertrud",1894-09-29,Kassel,,Kassel,,,,"Geburtstagsbrief an die Cousine, 1.Seite Franz, 2. Seite Onkel Georg Rosenzweig"
8,"Rosenzweig, Franz u.Ad.","Frank, Helene",1895-03-12,Kassel,,Kassel,,,,"Geburtstagsbrief, aber ""Mutter schreibt""; Adele schreibt Grüße dazu"
9,"Rosenzweig, Franz","Frank, Gertrud u. Leni",1896-10-12,Kassel,,Kassel,,,,"Brief des 10-Jährigen an die Cousinen; ""mittelalterliche"" Sprache"
10,"Rosenzweig, Franz","Regensburg, Walter",1897-01-07,Kassel,,Kassel,,,,"Franz schreibt an seinen in London neugeborenen Vetter Walter, spter. Raeburn"
11,"Rosenzweig,  Franz","Frank, Leni",1897-03-12,Kassel,,Kassel,,,,Dat: Brief; zum Geburtstag der Cousine Leni Frank
12,"Rosenzweig, Franz","Rosenzweig, Georg",1898-07-02,Kassel,,Kassel,,,,Für den Vater zum Geburtstag: das Hildebrandslied-Übersetzung und Zeichnung
13,"Rosenzweig,  Franz","Frank,  Gertrud",1901-01-27,[Kassel,,Kassel,,,,"Dank für einen Brief; Bericht vom Geigenunterricht; Gelesenes, Gedachtes"
14,"Rosenzweig,  Franz","Frank, Helene",1901-03-12,Kassel,,Kassel,,,,"An die Cousine Leni zum 14. Geburtstag; ""laß den Brief nicht offen liegen! """
15,"Hahn, Rudolf","Hahn,  Edith u. Schwestern",1901-06-08,Berlin,,Kassel,,,,"""Führungsbuch"" des Vaters Hahn für die drei Töchter; 8. 6. 1901 bis 1. 1. 1909"
