,,,,,,,,,,,,
,,,,,,,,,,,,
lfd. Nr.,"Kasten, Stk",Authentitz,Format,Absender,Empfänger,Datum,Abs.- Ort,GS und Herzfeld,GB,Bemerkungen,,
1,"[A001,01",O,B,"Rosenzweig, Georg","Rosenzweig, Franz",1913-12-18,,,,Dat in ÜbergL abw: 19. 12. 1927,,
2,"[A001,02",O,B,"Rosenzweig, Georg","Rosenzweig, Franz",1913-12-24,Oberstorf i. Allgäu,,,1913-12-24 - die 23 ist mit 24 überschrieben.,,
3,"[A001,03",O,B,"Rosenzweig, Georg","Rosenzweig, Franz",1914-11-14,,,,"""Rechtzeitig vor dem Abmarsch ...""",,
4,[A002,O,B,"Rosenstock-H., Margrit","Strauß,  Ilse",1923-00-00,,,,"Ilse Strauß geb. Hahn; Dat? Rafael geb.11.09.1922, lange gestillt; vgl. [C75",,
5,[A003,O,B,"Wittig, Joseph","Rosenzweig, Franz",1927-12-19,Schlegel Krs Neurode,,,,,
6,[A004,O,B,"Rosenstock-H., Eugen","Rosenzweig,  Franz",1925-12-02,,"I,2 S. 1069 o. Nr. ...",,Absd:Vermerk hdf auf Brief,,
7,"[A005,01",O,PK,"Rosenzweig, Franz","Oppenheim, Gertrud",1920-05-14,Kassel,,,Dat PostStp; hebr. Alphabet; Gruß in Deutsch mit hebr. Buchstaben,,
8,"[A005,02",O,PK,"Rosenzweig, Franz u. Ed.","Oppenheim, Gertrud",1920-05-16,Kassel,,,"Dat PostStp; Text in hebr. Buchstaben geschrieben, aber deutscher Inhalt",,
9,"[A006,01",ms P,B,"Rosenzweig, Rafael","Rowina, Hannah",1972-06-11,,,,hebr. Schreibms und ein dt. Text über Besuch v. Rovina (Hannah) b. FR; s. [E43,,
10,"[A006,02",O,BK,"Rowina, Hannah","Rosenzweig, Rafael",1972-06-15,Tel Aviv,,,"hd hebräisch; Antwort auf [A6,1?",,
11,"[A007,01",O,B,"Rosenzweig, Adele","Rosenzweig,  Franz",1915-04-07,Kassel (Cassel),,,Absd: Mutter; Familienkunde,,
12,"[A007,02",Abs.ms,B,"Rosenzweig, Adele","Rosenzweig,  Franz",1915-04-07,Kassel,,,"[A 7,2 ist Abs.ms von [A 7,1; Familienkunde, z.B. ü. Philipp Ehrenberg u.a.",,
13,[A008,Abs.ms,B,"Rosenzweig, Adele","Rosenzweig,  Franz",1917-02-12,Kassel,Herzfeld S. 416,,"Abs.ms; Orig [G14,1; zum ""Putzianum"" s. GS III, S. 371; s.dort Anm S. 851;z.Fam.",,
14,"[A009,01",O,B,"Rosenzweig, Adele","Rosenzweig,  Franz",1925-01-16,Kassel,,,"""Ich bin die Mutter!"" - 2 DoppelS + 1 S; zu Frau Cohen",,
15,"[A009,02",Abs.ms,B,"Rosenzweig, Adele","Rosenzweig,  Franz",1925-01-16,Kassel,,,"""Ich bin die Mutter"" - Abs.ms von [A 9,1; 1,5 S.",,
16,"[A009,03",O,B,"Rosenzweig, Adele","Rosenzweig,  Franz",1925-01-26,Kassel (Cassel),,,über M.Buber und H.Cohen; Adeles Einschätzung beider,,
17,"[A010,01",O,B,"Rosenzweig, Adele","Rosenzweig, Franz",1917-12-13,"Kassel,  Terrasse 1",,,"inc.: ""Lieber Kroesus"".. Genealogie. Informationen dazu v.O.Richard Ehrenberg",,
18,"[A010,02",Abs.ms,B,"Rosenzweig, Adele","Rosenzweig, Franz",1917-12-13,"Kassel, Terrasse 1",,,"[A10,2 = 1,5 S. Abs.ms von [A 10,1",,
19,[A011,O,B,"Rosenzweig,  Franz","Strauß, Eduard",1920-05-14,,,,"zu einer Stunde im Lehrhaus, die Eduard Strauß  gehalten hat.",,
20,[A012,K,S,Ernst Simon,"Rosenzweig, Franz",1967-03-26,Jerusalem,,,Gespräch (wer?)  mit Ernst Simon über Franz Rosenzweig,,
21,[A013,DruckS,S,Bne Briss,Nachrufe FR,1930-03-00,Berlin,DruckSache,,"Zeitung Die Loge Bne Briss, März 1930 Nr. 3; Nachrfe auf FR; u.a. Buber z. Stern",,
22,[A014,ms K,S,"Hallo, Gertrud",Nachruf FR 50. Yartag,1979-00-00,,,,engl.Text zum 50.Todestag (Yarzeit) von Franz Rosenzweig,,
23,[A015,O,B,"Rosenzweig,  Franz","Frank,  Gertrud",1904-12-30,,"I,1 Nr. 9 ...",,"Empf: Trudchen, später GO;BrfPapier Adele R., Dat 30. 12. 04; Nachschrift 31. 12.;",,
24,[A016,DruckS,S,"Baeck, Leo",Nachruf FR,1929-12-13,,DruckSache,,"Nachruf in ""Central Verein Zeitung"", VIII. Jg. Nr. 30, S.667",,
25,[A017,K,S,"Horwitz, Rivka",xxx,1969-00-00,,DruckSache,,"""The Journal of Jewish Studies"" 20/1969, S. 57-80 ""F.R's Unpublished Writings""",,
26,[A018,DruckS,S,Jüd. WoZeitung KS.u.W,Nachrufe FR,1929-12-13,Kassel,DruckSache,,"Nachrufe in ""Jüdische Wochenzeitung für Kassel, Hessen und Waldeck"" Nr.49,'29",,
27,[A019,DruckS,S,Die Gemeinschaft,Nachrufe FR,1930-04-11,Berlin,DruckSache,,"Nachrufe in ""Die Gemeinschaft"", Berlin, Nr.19/20, 11. April 1930",,
28,[A020,O,W,"Rosenzweig,  Adele","Frank, Gertrud",1891-09-30,Kassel,,,"Empf: später GO; geb. 1885, Gedicht zum 6. Geburtstag nach Köln",,
29,[A021,Abs. ms P,W,"Rosenzweig, Adam",,,,,,Gedicht über das jüd. Volk;Überschr:Adam Rosenzweig (aus dem Nachlaß),,
30,[A022,Drucks,S,Ffter.israel. GemeindeBl.,Nachrufe FR,1930-01-00,Frankfurt,,,"Nachrufe ""Frankfurter israelitisches Gemeindeblatt"" Januar 1930, S. 176 ff",,
31,[A023,DruckS,S,"Susman, Margarete",Nachruf FR,1929-12-22,Frankfurt,DruckSache,,"Nachruf in ""Frankfurter Zeitung"" 22. 12. 1920",,
32,[A024,Abs.hdf+ms,W,"Rosenzweig, Adele","Rosenzweig, Franz",1922-00-00,"Kassel , 9.Jan.-7.Aug.","siehe I,2 Nr. 687",,"[A24 Adeles eigenes Leben; inc.: ""Vergangnes schreib in dieses Buch ..""",,
33,"[A025,01",Abs.hdf,W,"Rosenzweig, Adele",Rosenzweig  Franz,1922-00-00,"Kassel, Aug-22.Dez.",,,Adeles Erinnerg an Frz Kindheit; Beginn mit Gedicht v. Kindchen [C66;s.a. [C68,,
34,"[A025,02",Abs.hdf,W,"Rosenzweig, Adele","Rosenzweig, Franz",1922-00-00,"Kassel, Aug-22.Dez.",,,"Adeles Erinnerg an Frz Kindheit; Beginn mit Gedicht v. Kindchen, [C66;[C68;[C73",,
35,[A026,Abs.hdf,Bfe,"Rosenzweig, Franz","Strauß, Eduard",1919-09-14,Kassel?,,,Abschr. aus div. Brfen FR an Eduard Strauß Sept.1919-Juli 1920;Orig in [B17 ff,,
36,[A027,O,3Be,"Oppenheim, Gertrud","Rosenzweig, Rafael u.a.",1966-03-14,Johannesburg,,,"3 letter-cards,14.3. continuing; PostStp 18.3.66; Erinng an Adele, FR, Edith, Gritli",,
37,[A028,ms Korr K,B,"Rosenzweig, Franz","Simon, Ernst",1924-03-31,,,,"Empfg : ÜbergL; ""In solcher Laun freit man kein Weib ...""; ms mit hd Korr. Kopie",,
38,"[A029,01",hdf K,B,"Rosenzweig,  Franz","Strauß, Eduard",1925-12-31,,,,"Empfg: ÜbergL, zu einem Brief von Koch; Unterschrift ""Franz"", hdf Edith",,
39,"[A029,02",hdf K,B,"Rosenzweig,  Franz","Strauß, Eduard",1926-01-07,,,,"Empfg: ÜbergL; zu einem weiteren Brief von Koch; Unterschrift ""Franz"". hdf Edith",,
40,[A030,O,W,"Rosenzweig, Franz",???,1905-00-00,,,,"Dat ÜbergL; allerlei Skizzen u. Erinnerung: ""Ein Jahr ist's her..""; Sütterlinschrift",,
41,[A031,Abs.ms,B,"Rosenzweig, Franz","Ehrenberg, Richard",1918-04-30,,,,"ms, keine Unterschrift; vgl GS I,1 Nr. 520 - Bezug?",,
42,[A032,Abs.ms,B,"Rosenzweig,  Franz","Rosenstock-H, Eugen",1925-11-18,,,S. 821 ...,zu Walter Raeburn - zur Konversion allg.,,
43,[A033,hdf P,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1926-06-20,,,,"Über seine Empfindlichkeit, die Trudchen bedenken soll!; U.""Franz"", hdf Edith",,
44,[A034,O,B,"Rosenzweig, Adele","Strauß, Eduard",1930-04-16,"Badenweiler, Villa Hedw.",,,"Empfg:s.Bezugn auf ""Menorah""; Jhg 1930,Hft 3-4;S.174ff; Eduard Strauß zu FR",,
45,[A035,ms,W,???,???,1965-00-00,,,,"Dat: ÜbergL mit (?). Zitatensammlung-Wer hat was über wen gesagt? ""Gnisa""",,
46,[A036,O,B,"Huessy, Lotte","Rosenzweig, Rafael",1966-03-16,,,,Absd Verm hdf;Erinnrg an FR; beilgd K von [A38; Hinws auf weitere Dok; Fragmt,,
47,[A037,O,B,"Rosenzweig, Franz","Strauß, Eduard",1920-01-22,Im Zug,,,"""Lieber Freund"" - über Veröffentlichung des Stern",,
48,[A038,K,B,"Rosenzweig, Franz","Susman, Margarete",1921-00-00,Mannheim im Wartesaal,"I,2 Nr. 657",,"Susman-v.Bendemann;vgl.[A36 und GS I,2 Nrn 649 u. 650",,
[A039,Abs.ms,Bfe,"Rosenzweig, Edith u.a.","Buber, Martin u.a.",1926-01-00,21.01.1926-19.05.1935,,,"Zitate aus Brfen von Edith Rosenzweig u.a. an Buber u.a., Jan 1926 - Mai 1935",,,
50,[A040,O,Dk,xxx,xxx,1934-04-25,Stuttgart,,,Militärdienstbescheinigung für FR vom 01. 10. 1912 - 02. 12. 1912 Leibdrag.Rg 24,,
51,"[A041,01",Abs.ms,W,"Rosenzweig, Franz u.Ad","Rosenzweig,  Rafael",1927-00-00,,"I,2 Nr. 1259, FN 1",,"für Rafael; Geschichten FR u.Gedicht Adele zum Globus; Abs.ms; s auch [A41,2;",,
52,"[A041,02",hdf P,W,"Rosenzweig, Franz u.Ad","Rosenzweig,  Rafael",1927-00-00,,"I,2 Nr. 1259, FN 1",,für Rafael;Geschichten FR; u.Gedicht Adele zum Globus; hdf Diktate,,
53,[A042,K,Dk,xxx,xxx,1905-00-00,Kassel (Cassel),,,a.d.Jahresber. FriedrGymn 1904/05; Abituraufgaben-Abiturientia-Berufswunsch,,
54,[A043,O,B,"Scholem, Gershom","Rosenzweig, Franz",1928-10-17,Jerusalem,,,Unterschrift: Gerhard Scholem;,,
55,[A044,O,B,"Scholem, Gershom","Rosenzweig, Franz",1929-08-08,Jerusalem,,,"Unterschrift: Gerhard Scholem; Antwort auf GS I,2 Nr. 1236",,
56,[A045,O,B,"Buber, Martin","Oppenheim, Gertrud",1929-12-23,Heppenheim a.d. Bergstr.,,,Zu Sendungen von GO. Keine Kondolenz,,
57,[A046,ms,Dk,"Rosenzweig, Rafael",xxx,1939-03-13,Frankfurt a. M.,,,Dat:EingangsStp FinAt;Bestand Bibliothek FR vor 1933; Liste zwecks Ausfuhr;,,
58,[A047,Abs.ms,W,"Rosenzweig, Franz",xxx,1907-01-05,,,,Familiengeschichte-Abschrift aus einem Notizbuch FR's -Dat? vgl ÜbergL,,
59,[A048,ms P? Korr,B,"Rosenzweig,  Franz","Rosenzweig, Adele",1923-12-25,,"I,2 Nr. 898 ...",,"wird der Dauer der Krankheit inne, und wie sich ""die Welt"" dazu stellt.",,
60,[A049,ms P Korr,B,"Rosenzweig, Franz","Horovitz, Rabbiner",1924-06-00,,,,Dat u Empfg hdf; Korr gepaust und original; zu einem Text über Cohen; Fragment,,
